date,cancer_emergency,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,1237.0,23619197.0,5.0,5.45
2019-01-07,1315.0,23624719.0,6.0,5.9
2019-01-14,1237.0,23632143.0,5.0,5.469999999999999
2019-01-21,1303.0,23638988.0,6.0,5.795000000000002
2019-01-28,1190.0,23646947.0,5.0,5.230000000000001
2019-02-04,1178.0,23654659.0,5.0,5.135
2019-02-11,1204.0,23659946.0,5.0,5.29
2019-02-18,1260.0,23665827.0,5.0,5.57
2019-02-25,1281.0,23671905.0,5.0,5.665
2019-03-04,1234.0,23676511.0,5.0,5.465
2019-03-11,1270.0,23683479.0,5.0,5.54
2019-03-18,1247.0,23687990.0,5.0,5.385000000000001
2019-03-25,1256.0,23697067.0,5.0,5.390000000000001
2019-04-01,1264.0,23695010.0,5.0,5.5649999999999995
2019-04-08,1195.0,23707297.0,5.0,5.339999999999999
2019-04-15,1250.0,23711021.0,5.0,5.38
2019-04-22,1283.0,23713298.0,5.0,5.515000000000001
2019-04-29,1245.0,23718332.0,5.0,5.435000000000001
2019-05-06,1281.0,23722306.0,5.0,5.665
2019-05-13,1292.0,23728769.0,5.0,5.705000000000001
2019-05-20,1328.0,23735492.0,6.0,5.905000000000001
2019-05-27,1226.0,23740009.0,5.0,5.3950000000000005
2019-06-03,1322.0,23746398.0,6.0,5.8999999999999995
2019-06-10,1259.0,23754543.0,5.0,5.474999999999999
2019-06-17,1259.0,23761788.0,5.0,5.4799999999999995
2019-06-24,1255.0,23770206.0,5.0,5.499999999999999
2019-07-01,1228.0,23771244.0,5.0,5.284999999999999
2019-07-08,1344.0,23785117.0,6.0,5.735
2019-07-15,1320.0,23789691.0,6.0,5.759999999999999
2019-07-22,1306.0,23796445.0,5.0,5.6450000000000005
2019-07-29,1339.0,23802426.0,6.0,5.984999999999999
2019-08-05,1307.0,23807775.0,5.0,5.705000000000001
2019-08-12,1311.0,23814150.0,6.0,5.71
2019-08-19,1392.0,23821112.0,6.0,6.034999999999999
2019-08-26,1266.0,23824779.0,5.0,5.6000000000000005
2019-09-02,1330.0,23832901.0,6.0,5.8999999999999995
2019-09-09,1322.0,23841184.0,6.0,5.6899999999999995
2019-09-16,1286.0,23850455.0,5.0,5.665
2019-09-23,1224.0,23860519.0,5.0,5.365
2019-09-30,1241.0,23864138.0,5.0,5.325
2019-10-07,1323.0,23875684.0,6.0,5.715
2019-10-14,1327.0,23884554.0,6.0,5.74
2019-10-21,1215.0,23893680.0,5.0,5.24
2019-10-28,1247.0,23903389.0,5.0,5.535
2019-11-04,1239.0,23912086.0,5.0,5.359999999999999
2019-11-11,1263.0,23921107.0,5.0,5.365
2019-11-18,1257.0,23928414.0,5.0,5.3
2019-11-25,1211.0,23933825.0,5.0,5.265
2019-12-02,1196.0,23941383.0,5.0,5.154999999999999
2019-12-09,1131.0,23946784.0,5.0,4.925
2019-12-16,1203.0,23951030.0,5.0,5.085000000000001
2019-12-23,1067.0,23954008.0,4.0,4.6
2019-12-30,1202.0,23955954.0,5.0,5.24
2020-01-06,1278.0,23957924.0,5.0,5.589999999999999
2020-01-13,1231.0,23964025.0,5.0,5.404999999999999
2020-01-20,1263.0,23970394.0,5.0,5.36
2020-01-27,1310.0,23978016.0,5.0,5.625
2020-02-03,1178.0,23985133.0,5.0,5.04
2020-02-10,1234.0,23990464.0,5.0,5.294999999999999
2020-02-17,1197.0,23995726.0,5.0,5.14
2020-02-24,1257.0,24000255.0,5.0,5.335
2020-03-02,1167.0,24006358.0,5.0,5.07
2020-03-09,1063.0,24013653.0,4.0,4.69
2020-03-16,897.0,24017215.0,4.0,3.75
2020-03-23,678.0,24020164.0,3.0,2.945
2020-03-30,722.0,24021353.0,3.0,3.03
2020-04-06,743.0,24022733.0,3.0,3.2550000000000003
2020-04-13,841.0,24018826.0,4.0,3.6349999999999993
2020-04-20,982.0,24013876.0,4.0,4.255
2020-04-27,1021.0,24010686.0,4.0,4.41
2020-05-04,1141.0,24008646.0,5.0,4.955
2020-05-11,1129.0,24006906.0,5.0,4.765
2020-05-18,1080.0,24007251.0,4.0,4.705
2020-05-25,1065.0,24006234.0,4.0,4.579999999999999
2020-06-01,1226.0,24007604.0,5.0,5.294999999999999
2020-06-08,1189.0,24008253.0,5.0,5.1499999999999995
2020-06-15,1232.0,24009419.0,5.0,5.219999999999999
2020-06-22,1213.0,24010297.0,5.0,5.055
2020-06-29,1197.0,24011147.0,5.0,5.079999999999999
2020-07-06,1252.0,24014105.0,5.0,5.330000000000001
2020-07-13,1264.0,24015400.0,5.0,5.3100000000000005
2020-07-20,1219.0,24019031.0,5.0,5.245
2020-07-27,1300.0,24021237.0,5.0,5.625
2020-08-03,1264.0,24022742.0,5.0,5.31
2020-08-10,1258.0,24025552.0,5.0,5.385000000000001
2020-08-17,1274.0,24026962.0,5.0,5.625
2020-08-24,1217.0,24026794.0,5.0,5.1850000000000005
2020-08-31,1268.0,24026990.0,5.0,5.365
2020-09-07,1290.0,24032832.0,5.0,5.615
2020-09-14,1234.0,24033068.0,5.0,5.23
2020-09-21,1205.0,24038036.0,5.0,5.365
2020-09-28,1229.0,24040465.0,5.0,5.345
2020-10-05,1176.0,24049153.0,5.0,5.069999999999999
2020-10-12,1150.0,24053926.0,5.0,4.71
2020-10-19,1170.0,24060061.0,5.0,5.105
2020-10-26,1158.0,24065286.0,5.0,4.965
2020-11-02,1142.0,24069750.0,5.0,4.925000000000001
2020-11-09,1183.0,24074213.0,5.0,5.055000000000001
2020-11-16,1172.0,24078398.0,5.0,5.059999999999999
2020-11-23,1152.0,24081767.0,5.0,4.895000000000001
2020-11-30,1126.0,24084556.0,5.0,4.79
2020-12-07,1147.0,24088259.0,5.0,4.864999999999999
2020-12-14,1118.0,24091733.0,5.0,4.84
2020-12-21,984.0,24095649.0,4.0,4.12
2020-12-28,993.0,24096851.0,4.0,4.345
