date,cancer_emergency_elective,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,15132.0,23619197.0,64.0,66.995
2019-01-07,18679.0,23624719.0,79.0,82.285
2019-01-14,17781.0,23632143.0,75.0,78.47
2019-01-21,17603.0,23638988.0,74.0,77.415
2019-01-28,17777.0,23646947.0,75.0,78.375
2019-02-04,17824.0,23654659.0,75.0,78.44
2019-02-11,17919.0,23659946.0,76.0,78.78
2019-02-18,17343.0,23665827.0,73.0,76.14999999999999
2019-02-25,17550.0,23671905.0,74.0,77.415
2019-03-04,17857.0,23676511.0,75.0,78.38499999999999
2019-03-11,18421.0,23683479.0,78.0,80.875
2019-03-18,17564.0,23687990.0,74.0,77.18
2019-03-25,17224.0,23697067.0,73.0,75.75000000000001
2019-04-01,18225.0,23695010.0,77.0,79.83000000000001
2019-04-08,18004.0,23707297.0,76.0,78.99
2019-04-15,15629.0,23711021.0,66.0,68.60499999999999
2019-04-22,16522.0,23713298.0,70.0,72.51500000000001
2019-04-29,18532.0,23718332.0,78.0,81.31500000000001
2019-05-06,16309.0,23722306.0,69.0,71.37500000000001
2019-05-13,18194.0,23728769.0,77.0,79.645
2019-05-20,18232.0,23735492.0,77.0,79.91000000000001
2019-05-27,15627.0,23740009.0,66.0,68.42500000000001
2019-06-03,18272.0,23746398.0,77.0,79.81500000000001
2019-06-10,18186.0,23754543.0,77.0,79.36000000000001
2019-06-17,17338.0,23761788.0,73.0,75.65500000000002
2019-06-24,18047.0,23770206.0,76.0,78.82000000000001
2019-07-01,17804.0,23771244.0,75.0,77.48
2019-07-08,17710.0,23785117.0,74.0,77.14000000000003
2019-07-15,17827.0,23789691.0,75.0,77.745
2019-07-22,17619.0,23796445.0,74.0,76.84500000000001
2019-07-29,17768.0,23802426.0,75.0,77.54499999999999
2019-08-05,17906.0,23807775.0,75.0,77.92
2019-08-12,17876.0,23814150.0,75.0,77.87000000000002
2019-08-19,17962.0,23821112.0,75.0,78.14
2019-08-26,15824.0,23824779.0,66.0,68.84500000000001
2019-09-02,18353.0,23832901.0,77.0,79.75500000000001
2019-09-09,18076.0,23841184.0,76.0,78.465
2019-09-16,18041.0,23850455.0,76.0,78.34500000000001
2019-09-23,18013.0,23860519.0,75.0,78.22
2019-09-30,18311.0,23864138.0,77.0,79.485
2019-10-07,18304.0,23875684.0,77.0,79.42500000000001
2019-10-14,18644.0,23884554.0,78.0,80.94
2019-10-21,18101.0,23893680.0,76.0,78.51500000000003
2019-10-28,17898.0,23903389.0,75.0,77.80000000000001
2019-11-04,18853.0,23912086.0,79.0,81.565
2019-11-11,18435.0,23921107.0,77.0,80.03000000000002
2019-11-18,18579.0,23928414.0,78.0,80.57000000000001
2019-11-25,18461.0,23933825.0,77.0,80.06
2019-12-02,18861.0,23941383.0,79.0,81.56500000000001
2019-12-09,18640.0,23946784.0,78.0,80.53500000000001
2019-12-16,18601.0,23951030.0,78.0,80.56499999999998
2019-12-23,10749.0,23954008.0,45.0,46.589999999999996
2019-12-30,15277.0,23955954.0,64.0,66.21000000000002
2020-01-06,19731.0,23957924.0,82.0,85.195
2020-01-13,18517.0,23964025.0,77.0,80.03500000000001
2020-01-20,18386.0,23970394.0,77.0,79.51499999999999
2020-01-27,18642.0,23978016.0,78.0,80.685
2020-02-03,18446.0,23985133.0,77.0,79.50500000000001
2020-02-10,18441.0,23990464.0,77.0,79.545
2020-02-17,17851.0,23995726.0,74.0,77.13000000000001
2020-02-24,18229.0,24000255.0,76.0,78.625
2020-03-02,18628.0,24006358.0,78.0,80.34499999999998
2020-03-09,18357.0,24013653.0,76.0,78.99499999999999
2020-03-16,15805.0,24017215.0,66.0,68.11000000000001
2020-03-23,12038.0,24020164.0,50.0,52.105000000000004
2020-03-30,10596.0,24021353.0,44.0,45.68000000000001
2020-04-06,8943.0,24022733.0,37.0,38.465
2020-04-13,9075.0,24018826.0,38.0,38.925000000000004
2020-04-20,10072.0,24013876.0,42.0,43.345
2020-04-27,10051.0,24010686.0,42.0,43.18
2020-05-04,9783.0,24008646.0,41.0,42.08500000000001
2020-05-11,11237.0,24006906.0,47.0,48.305
2020-05-18,11281.0,24007251.0,47.0,48.669999999999995
2020-05-25,10456.0,24006234.0,44.0,45.025000000000006
2020-06-01,12329.0,24007604.0,51.0,52.86
2020-06-08,12312.0,24008253.0,51.0,52.82
2020-06-15,12516.0,24009419.0,52.0,53.870000000000005
2020-06-22,13241.0,24010297.0,55.0,56.87500000000001
2020-06-29,13388.0,24011147.0,56.0,57.56
2020-07-06,13214.0,24014105.0,55.0,56.74
2020-07-13,13908.0,24015400.0,58.0,59.759999999999984
2020-07-20,13632.0,24019031.0,57.0,58.66999999999999
2020-07-27,13745.0,24021237.0,57.0,59.10499999999998
2020-08-03,14056.0,24022742.0,59.0,60.345
2020-08-10,13992.0,24025552.0,58.0,60.025000000000006
2020-08-17,14440.0,24026962.0,60.0,61.85000000000001
2020-08-24,14571.0,24026794.0,61.0,62.470000000000006
2020-08-31,13320.0,24026990.0,55.0,57.294999999999995
2020-09-07,15055.0,24032832.0,63.0,64.51
2020-09-14,14965.0,24033068.0,62.0,64.055
2020-09-21,15158.0,24038036.0,63.0,65.10499999999999
2020-09-28,15318.0,24040465.0,64.0,65.67
2020-10-05,15550.0,24049153.0,65.0,66.55999999999999
2020-10-12,15766.0,24053926.0,66.0,67.52
2020-10-19,15625.0,24060061.0,65.0,66.83
2020-10-26,15205.0,24065286.0,63.0,65.075
2020-11-02,15719.0,24069750.0,65.0,67.11500000000001
2020-11-09,15807.0,24074213.0,66.0,67.60500000000002
2020-11-16,15569.0,24078398.0,65.0,66.66
2020-11-23,15681.0,24081767.0,65.0,67.06500000000001
2020-11-30,15968.0,24084556.0,66.0,68.365
2020-12-07,16256.0,24088259.0,67.0,69.605
2020-12-14,16217.0,24091733.0,67.0,69.30499999999999
2020-12-21,11910.0,24095649.0,49.0,50.919999999999995
2020-12-28,10575.0,24096851.0,44.0,45.27500000000002
