date,cvd_emergency_elective,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,6001.0,23619197.0,25.0,26.365
2019-01-07,7425.0,23624719.0,31.0,32.74
2019-01-14,7195.0,23632143.0,30.0,31.660000000000004
2019-01-21,7519.0,23638988.0,32.0,33.230000000000004
2019-01-28,7212.0,23646947.0,30.0,31.710000000000004
2019-02-04,7327.0,23654659.0,31.0,32.275000000000006
2019-02-11,7379.0,23659946.0,31.0,32.395
2019-02-18,6896.0,23665827.0,29.0,30.334999999999997
2019-02-25,7245.0,23671905.0,31.0,31.92
2019-03-04,7624.0,23676511.0,32.0,33.475
2019-03-11,7419.0,23683479.0,31.0,32.584999999999994
2019-03-18,7344.0,23687990.0,31.0,32.205
2019-03-25,7162.0,23697067.0,30.0,31.52
2019-04-01,7533.0,23695010.0,32.0,32.955
2019-04-08,7199.0,23707297.0,30.0,31.635
2019-04-15,6506.0,23711021.0,27.0,28.295000000000005
2019-04-22,6849.0,23713298.0,29.0,30.04
2019-04-29,7367.0,23718332.0,31.0,32.28
2019-05-06,6971.0,23722306.0,29.0,30.460000000000004
2019-05-13,7658.0,23728769.0,32.0,33.434999999999995
2019-05-20,7369.0,23735492.0,31.0,32.165000000000006
2019-05-27,6440.0,23740009.0,27.0,28.205000000000002
2019-06-03,7398.0,23746398.0,31.0,32.34
2019-06-10,7548.0,23754543.0,32.0,32.805
2019-06-17,7425.0,23761788.0,31.0,32.395
2019-06-24,7463.0,23770206.0,31.0,32.56
2019-07-01,7200.0,23771244.0,30.0,31.240000000000002
2019-07-08,7099.0,23785117.0,30.0,30.895000000000003
2019-07-15,7188.0,23789691.0,30.0,31.349999999999998
2019-07-22,7106.0,23796445.0,30.0,31.040000000000003
2019-07-29,7012.0,23802426.0,29.0,30.425
2019-08-05,6982.0,23807775.0,29.0,30.37
2019-08-12,6971.0,23814150.0,29.0,30.305000000000003
2019-08-19,6840.0,23821112.0,29.0,29.820000000000004
2019-08-26,6399.0,23824779.0,27.0,27.785000000000004
2019-09-02,7004.0,23832901.0,29.0,30.32
2019-09-09,7277.0,23841184.0,31.0,31.429999999999996
2019-09-16,7226.0,23850455.0,30.0,31.389999999999997
2019-09-23,7462.0,23860519.0,31.0,32.405
2019-09-30,7510.0,23864138.0,31.0,32.449999999999996
2019-10-07,7437.0,23875684.0,31.0,32.17
2019-10-14,7535.0,23884554.0,32.0,32.635
2019-10-21,7259.0,23893680.0,30.0,31.435
2019-10-28,7254.0,23903389.0,30.0,31.325000000000006
2019-11-04,7627.0,23912086.0,32.0,32.87
2019-11-11,7494.0,23921107.0,31.0,32.465
2019-11-18,7558.0,23928414.0,32.0,32.61
2019-11-25,7343.0,23933825.0,31.0,31.835
2019-12-02,7317.0,23941383.0,31.0,31.519999999999996
2019-12-09,7308.0,23946784.0,31.0,31.62
2019-12-16,7290.0,23951030.0,30.0,31.515
2019-12-23,4950.0,23954008.0,21.0,21.32
2019-12-30,6013.0,23955954.0,25.0,25.93
2020-01-06,7683.0,23957924.0,32.0,33.07
2020-01-13,7482.0,23964025.0,31.0,32.30500000000001
2020-01-20,7406.0,23970394.0,31.0,32.17000000000001
2020-01-27,7592.0,23978016.0,32.0,32.705
2020-02-03,7544.0,23985133.0,31.0,32.41
2020-02-10,7673.0,23990464.0,32.0,33.015
2020-02-17,7195.0,23995726.0,30.0,30.935000000000002
2020-02-24,7653.0,24000255.0,32.0,32.89
2020-03-02,7634.0,24006358.0,32.0,32.75
2020-03-09,6770.0,24013653.0,28.0,29.035
2020-03-16,5011.0,24017215.0,21.0,21.525000000000002
2020-03-23,3531.0,24020164.0,15.0,15.344999999999999
2020-03-30,3260.0,24021353.0,14.0,14.115
2020-04-06,3042.0,24022733.0,13.0,13.000000000000004
2020-04-13,3318.0,24018826.0,14.0,14.125
2020-04-20,3964.0,24013876.0,17.0,17.080000000000002
2020-04-27,4461.0,24010686.0,19.0,19.255
2020-05-04,4528.0,24008646.0,19.0,19.34
2020-05-11,4846.0,24006906.0,20.0,20.765
2020-05-18,5120.0,24007251.0,21.0,22.05
2020-05-25,4746.0,24006234.0,20.0,20.52
2020-06-01,5295.0,24007604.0,22.0,22.76
2020-06-08,5680.0,24008253.0,24.0,24.349999999999998
2020-06-15,5796.0,24009419.0,24.0,24.860000000000003
2020-06-22,6080.0,24010297.0,25.0,26.040000000000003
2020-06-29,5974.0,24011147.0,25.0,25.78
2020-07-06,6033.0,24014105.0,25.0,25.965
2020-07-13,6265.0,24015400.0,26.0,26.905000000000005
2020-07-20,6298.0,24019031.0,26.0,27.000000000000004
2020-07-27,6134.0,24021237.0,26.0,26.445000000000004
2020-08-03,5983.0,24022742.0,25.0,25.565
2020-08-10,6078.0,24025552.0,25.0,26.175
2020-08-17,6183.0,24026962.0,26.0,26.625
2020-08-24,6203.0,24026794.0,26.0,26.665000000000003
2020-08-31,5800.0,24026990.0,24.0,24.82
2020-09-07,6322.0,24032832.0,26.0,27.044999999999998
2020-09-14,6404.0,24033068.0,27.0,27.465
2020-09-21,6347.0,24038036.0,26.0,27.145000000000003
2020-09-28,6798.0,24040465.0,28.0,29.000000000000004
2020-10-05,6788.0,24049153.0,28.0,28.84
2020-10-12,6582.0,24053926.0,27.0,27.995
2020-10-19,6458.0,24060061.0,27.0,27.665000000000003
2020-10-26,6061.0,24065286.0,25.0,25.885
2020-11-02,6231.0,24069750.0,26.0,26.595000000000002
2020-11-09,6232.0,24074213.0,26.0,26.664999999999996
2020-11-16,6169.0,24078398.0,26.0,26.285
2020-11-23,6208.0,24081767.0,26.0,26.445000000000004
2020-11-30,6539.0,24084556.0,27.0,27.94
2020-12-07,6573.0,24088259.0,27.0,28.044999999999998
2020-12-14,6173.0,24091733.0,26.0,26.27
2020-12-21,4703.0,24095649.0,20.0,20.145
2020-12-28,4356.0,24096851.0,18.0,18.615000000000002
