date,respiratory_disease_emergency,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,10074.0,23619197.0,43.0,43.61000000000001
2019-01-07,9702.0,23624719.0,41.0,41.89
2019-01-14,9173.0,23632143.0,39.0,39.300000000000004
2019-01-21,9378.0,23638988.0,40.0,40.24
2019-01-28,9353.0,23646947.0,40.0,40.27
2019-02-04,9828.0,23654659.0,42.0,42.03
2019-02-11,9027.0,23659946.0,38.0,38.730000000000004
2019-02-18,8410.0,23665827.0,36.0,36.035000000000004
2019-02-25,7825.0,23671905.0,33.0,33.665000000000006
2019-03-04,7654.0,23676511.0,32.0,32.685
2019-03-11,7284.0,23683479.0,31.0,31.145000000000003
2019-03-18,7104.0,23687990.0,30.0,30.424999999999997
2019-03-25,7051.0,23697067.0,30.0,29.995
2019-04-01,7450.0,23695010.0,31.0,31.865
2019-04-08,7275.0,23707297.0,31.0,31.080000000000005
2019-04-15,6964.0,23711021.0,29.0,30.0
2019-04-22,6735.0,23713298.0,28.0,29.060000000000002
2019-04-29,5974.0,23718332.0,25.0,25.68
2019-05-06,5922.0,23722306.0,25.0,25.345
2019-05-13,6048.0,23728769.0,25.0,25.9
2019-05-20,6067.0,23735492.0,26.0,25.985
2019-05-27,5493.0,23740009.0,23.0,23.775000000000002
2019-06-03,5489.0,23746398.0,23.0,23.490000000000002
2019-06-10,5422.0,23754543.0,23.0,23.240000000000002
2019-06-17,5789.0,23761788.0,24.0,24.665
2019-06-24,5641.0,23770206.0,24.0,24.130000000000003
2019-07-01,5342.0,23771244.0,22.0,22.8
2019-07-08,5308.0,23785117.0,22.0,22.700000000000003
2019-07-15,5211.0,23789691.0,22.0,22.205000000000005
2019-07-22,5334.0,23796445.0,22.0,22.835
2019-07-29,5106.0,23802426.0,21.0,21.745
2019-08-05,4740.0,23807775.0,20.0,20.279999999999998
2019-08-12,4700.0,23814150.0,20.0,20.13
2019-08-19,4858.0,23821112.0,20.0,20.7
2019-08-26,4884.0,23824779.0,20.0,20.77
2019-09-02,4536.0,23832901.0,19.0,19.385
2019-09-09,5475.0,23841184.0,23.0,23.19
2019-09-16,6343.0,23850455.0,27.0,26.720000000000002
2019-09-23,6794.0,23860519.0,28.0,28.81
2019-09-30,6755.0,23864138.0,28.0,28.66
2019-10-07,7071.0,23875684.0,30.0,29.985
2019-10-14,7468.0,23884554.0,31.0,31.65
2019-10-21,7187.0,23893680.0,30.0,30.435000000000002
2019-10-28,7660.0,23903389.0,32.0,32.435
2019-11-04,7813.0,23912086.0,33.0,32.995
2019-11-11,8214.0,23921107.0,34.0,34.575
2019-11-18,8884.0,23928414.0,37.0,37.325
2019-11-25,9698.0,23933825.0,41.0,40.59
2019-12-02,10133.0,23941383.0,42.0,42.36
2019-12-09,11015.0,23946784.0,46.0,46.39
2019-12-16,11363.0,23951030.0,47.0,47.855000000000004
2019-12-23,10985.0,23954008.0,46.0,46.370000000000005
2019-12-30,10858.0,23955954.0,45.0,46.075
2020-01-06,9294.0,23957924.0,39.0,39.39500000000001
2020-01-13,7937.0,23964025.0,33.0,33.645
2020-01-20,7662.0,23970394.0,32.0,32.535
2020-01-27,8216.0,23978016.0,34.0,34.69500000000001
2020-02-03,7675.0,23985133.0,32.0,32.39
2020-02-10,7660.0,23990464.0,32.0,32.34
2020-02-17,7086.0,23995726.0,30.0,29.92
2020-02-24,7264.0,24000255.0,30.0,30.810000000000002
2020-03-02,6919.0,24006358.0,29.0,29.255
2020-03-09,6516.0,24013653.0,27.0,27.415
2020-03-16,5083.0,24017215.0,21.0,21.425000000000004
2020-03-23,3606.0,24020164.0,15.0,15.410000000000002
2020-03-30,3068.0,24021353.0,13.0,13.125
2020-04-06,2793.0,24022733.0,12.0,11.930000000000001
2020-04-13,2454.0,24018826.0,10.0,10.55
2020-04-20,2575.0,24013876.0,11.0,11.074999999999998
2020-04-27,2884.0,24010686.0,12.0,12.44
2020-05-04,2711.0,24008646.0,11.0,11.510000000000002
2020-05-11,2750.0,24006906.0,11.0,11.844999999999999
2020-05-18,2873.0,24007251.0,12.0,12.229999999999999
2020-05-25,2585.0,24006234.0,11.0,11.22
2020-06-01,2911.0,24007604.0,12.0,12.455
2020-06-08,2908.0,24008253.0,12.0,12.415
2020-06-15,3074.0,24009419.0,13.0,13.115
2020-06-22,3179.0,24010297.0,13.0,13.525
2020-06-29,2981.0,24011147.0,12.0,12.85
2020-07-06,2807.0,24014105.0,12.0,11.83
2020-07-13,3047.0,24015400.0,13.0,13.089999999999998
2020-07-20,3013.0,24019031.0,13.0,12.75
2020-07-27,3118.0,24021237.0,13.0,13.209999999999999
2020-08-03,3114.0,24022742.0,13.0,13.325000000000001
2020-08-10,3415.0,24025552.0,14.0,14.510000000000002
2020-08-17,3210.0,24026962.0,13.0,13.629999999999999
2020-08-24,3343.0,24026794.0,14.0,14.17
2020-08-31,3594.0,24026990.0,15.0,15.145000000000001
2020-09-07,4125.0,24032832.0,17.0,17.45
2020-09-14,4437.0,24033068.0,18.0,18.680000000000003
2020-09-21,4318.0,24038036.0,18.0,18.240000000000002
2020-09-28,4018.0,24040465.0,17.0,16.95
2020-10-05,3917.0,24049153.0,16.0,16.425
2020-10-12,3757.0,24053926.0,16.0,15.810000000000002
2020-10-19,3780.0,24060061.0,16.0,16.09
2020-10-26,3336.0,24065286.0,14.0,14.155000000000001
2020-11-02,3139.0,24069750.0,13.0,13.200000000000001
2020-11-09,3168.0,24074213.0,13.0,13.260000000000002
2020-11-16,3158.0,24078398.0,13.0,13.249999999999998
2020-11-23,3114.0,24081767.0,13.0,13.18
2020-11-30,3418.0,24084556.0,14.0,14.38
2020-12-07,3363.0,24088259.0,14.0,14.209999999999999
2020-12-14,3204.0,24091733.0,13.0,13.565000000000003
2020-12-21,2807.0,24095649.0,12.0,11.865000000000004
2020-12-28,2956.0,24096851.0,12.0,12.519999999999998
